
2022-12-02 15:01:01.063799 ||Processed frame no: 1 || Current FPS: 0.67 || Objects tracked: 2 || car: 2 
2022-12-02 15:01:01.547545 ||Processed frame no: 2 || Current FPS: 7.2 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:01.684893 ||Processed frame no: 3 || Current FPS: 9.43 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:01.827393 ||Processed frame no: 4 || Current FPS: 8.73 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:01.952390 ||Processed frame no: 5 || Current FPS: 10.67 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:02.030641 ||Processed frame no: 6 || Current FPS: 15.97 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:02.187318 ||Processed frame no: 7 || Current FPS: 7.32 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:02.265464 ||Processed frame no: 8 || Current FPS: 12.8 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:02.343901 ||Processed frame no: 9 || Current FPS: 15.92 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:02.437658 ||Processed frame no: 10 || Current FPS: 12.81 || Objects tracked: 3 || car: 2 bus: 1 
2022-12-02 15:01:02.499959 ||Processed frame no: 11 || Current FPS: 20.24 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:02.593710 ||Processed frame no: 12 || Current FPS: 12.81 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:02.703262 ||Processed frame no: 13 || Current FPS: 10.65 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:02.828697 ||Processed frame no: 14 || Current FPS: 16.56 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:02.891512 ||Processed frame no: 15 || Current FPS: 21.22 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:02.969649 ||Processed frame no: 16 || Current FPS: 16.01 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:03.080759 ||Processed frame no: 17 || Current FPS: 10.47 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:03.172442 ||Processed frame no: 18 || Current FPS: 12.79 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.234923 ||Processed frame no: 19 || Current FPS: 21.33 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.313452 ||Processed frame no: 20 || Current FPS: 15.91 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.375953 ||Processed frame no: 21 || Current FPS: 16.0 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.438451 ||Processed frame no: 22 || Current FPS: 16.0 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.500953 ||Processed frame no: 23 || Current FPS: 21.33 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.563494 ||Processed frame no: 24 || Current FPS: 21.31 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.625954 ||Processed frame no: 25 || Current FPS: 21.37 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.719487 ||Processed frame no: 26 || Current FPS: 15.38 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.813718 ||Processed frame no: 27 || Current FPS: 15.88 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:03.907481 ||Processed frame no: 28 || Current FPS: 12.8 || Objects tracked: 1 || car: 1 
2022-12-02 15:01:04.002449 ||Processed frame no: 29 || Current FPS: 12.6 || Objects tracked: 0 || 
2022-12-02 15:01:04.063849 ||Processed frame no: 30 || Current FPS: 21.33 || Objects tracked: 0 || 
2022-12-02 15:01:04.152514 ||Processed frame no: 31 || Current FPS: 13.69 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.221161 ||Processed frame no: 32 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.299286 ||Processed frame no: 33 || Current FPS: 16.02 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.361906 ||Processed frame no: 34 || Current FPS: 21.28 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.424416 ||Processed frame no: 35 || Current FPS: 21.36 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.492058 ||Processed frame no: 36 || Current FPS: 19.23 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.549506 ||Processed frame no: 37 || Current FPS: 23.11 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.643457 ||Processed frame no: 38 || Current FPS: 15.97 || Objects tracked: 2 || bus: 1 car: 1 
2022-12-02 15:01:04.706016 ||Processed frame no: 39 || Current FPS: 21.34 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.784632 ||Processed frame no: 40 || Current FPS: 17.53 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:04.863064 ||Processed frame no: 41 || Current FPS: 15.92 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:04.925485 ||Processed frame no: 42 || Current FPS: 16.16 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:05.003614 ||Processed frame no: 43 || Current FPS: 16.02 || Objects tracked: 2 || bus: 2 
2022-12-02 15:01:05.066112 ||Processed frame no: 44 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.128663 ||Processed frame no: 45 || Current FPS: 21.34 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.206745 ||Processed frame no: 46 || Current FPS: 21.37 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.269965 ||Processed frame no: 47 || Current FPS: 20.27 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.332466 ||Processed frame no: 48 || Current FPS: 21.33 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.395115 ||Processed frame no: 49 || Current FPS: 21.3 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.473229 ||Processed frame no: 50 || Current FPS: 16.0 || Objects tracked: 1 || bus: 1 
2022-12-02 15:01:05.551380 ||Processed frame no: 51 || Current FPS: 16.27 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:05.640054 ||Processed frame no: 52 || Current FPS: 13.68 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:05.716642 ||Processed frame no: 53 || Current FPS: 16.0 || Objects tracked: 2 || car: 1 bus: 1 
2022-12-02 15:01:05.794780 ||Processed frame no: 54 || Current FPS: 16.0 || Objects tracked: 2 || car: 1 bus: 1 
